Rank,Mountain,Height (m),Height (ft),Range,Coordinates,Prominence (m),Parent mountain,First ascent,Ascents (Failed attempts) bef.2004
1,Mount Everest,8848.00,29029.00,Mahalangur Himalaya,27¡59?17?N 86¡55?31?E? / ?27.98806¡N 86.92528¡E,8848.00,none,1953,145 (121)
2,Godwin Austen,8611.00,28251.00,Baltoro Karakoram,35¡52?53?N 76¡30?48?E? / ?35.88139¡N 76.51333¡E,4017.00,Mount Everest,1954,45 (44)
3,Kangchenjunga,8586.00,28169.00,Kangchenjunga Himalaya,27¡42?12?N 88¡08?51?E? / ?27.70333¡N 88.14750¡E *,3922.00,Mount Everest,1955,38 (24)
4,Lhotse,8516.00,27940.00,Mahalangur Himalaya,27¡57?42?N 86¡55?59?E? / ?27.96167¡N 86.93306¡E,610.00,Mount Everest,1956,26 (26)
5,Makalu,8485.00,27838.00,Mahalangur Himalaya,27¡53?23?N 87¡5?20?E? / ?27.88972¡N 87.08889¡E,2386.00,Mount Everest,1955,45 (52)
6,Cho Oyu,8188.00,26864.00,Mahalangur Himalaya,28¡05?39?N 86¡39?39?E? / ?28.09417¡N 86.66083¡E,2340.00,Mount Everest,1954,79 (28)
7,Dhaulagiri I,8167.00,26795.00,Dhaulagiri Himalaya,28¡41?48?N 83¡29?35?E? / ?28.69667¡N 83.49306¡E,3357.00,K2,1960,51 (39)
8,Manaslu,8163.00,26781.00,Manaslu Himalaya,28¡33?00?N 84¡33?35?E? / ?28.55000¡N 84.55972¡E,3092.00,Cho Oyu,1956,49 (45)
9,Nanga Parbat,8126.00,26660.00,Nanga Parbat Himalaya,35¡14?14?N 74¡35?21?E? / ?35.23722¡N 74.58917¡E,4608.00,Dhaulagiri,1953,52 (67)
10,Annapurna I,8091.00,26545.00,Annapurna Himalaya,28¡35?44?N 83¡49?13?E? / ?28.59556¡N 83.82028¡E,2984.00,Cho Oyu,1950,36 (47)
11,Hidden Peak ,8080.00,26509.00,Baltoro Karakoram,35¡43?28?N 76¡41?47?E? / ?35.72444¡N 76.69639¡E,2155.00,K2,1958,31 (16)
12,Broad Peak,8051.00,26414.00,Baltoro Karakoram,35¡48?38?N 76¡34?06?E? / ?35.81056¡N 76.56833¡E,1701.00,Gasherbrum I,1957,39 (19)
13,Gasherbrum II,8034.00,26362.00,Baltoro Karakoram,35¡45?28?N 76¡39?12?E? / ?35.75778¡N 76.65333¡E,1523.00,Gasherbrum I,1956,54 (12)
14,Shishapangma,8027.00,26335.00,Jugal Himalaya,28¡21?12?N 85¡46?43?E? / ?28.35333¡N 85.77861¡E,2897.00,Cho Oyu,1964,43 (19)
15,Gyachung Kang,7952.00,26089.00,Mahalangur Himalaya,28¡05?53?N 86¡44?42?E? / ?28.09806¡N 86.74500¡E,700.00,Cho Oyu,1964,5 (3)
,Gasherbrum III,7946.00,26070.00,Baltoro Karakoram,35¡45?33?N 76¡38?30?E? / ?35.75917¡N 76.64167¡E,355.00,Gasherbrum II,1975,2 (2)
16,Annapurna II,7937.00,26040.00,Annapurna Himalaya,28¡32?05?N 84¡07?19?E? / ?28.53472¡N 84.12194¡E,2437.00,Annapurna I,1960,6 (19)
17,Gasherbrum IV,7932.00,26024.00,Baltoro Karakoram,35¡45?38?N 76¡36?58?E? / ?35.76056¡N 76.61611¡E,715.00,Gasherbrum III,1958,4 (11)
18,Himalchuli,7893.00,25896.00,Manaslu Himalaya,28¡26?12?N 84¡38?23?E? / ?28.43667¡N 84.63972¡E *,1633.00,Manaslu,1960,6 (12)
19,Distaghil Sar,7884.00,25866.00,Hispar Karakoram,36¡19?33?N 75¡11?16?E? / ?36.32583¡N 75.18778¡E,2525.00,K2,1960,3 (5)
20,Ngadi Chuli,7871.00,25823.00,Manaslu Himalaya,28¡30?12?N 84¡34?00?E? / ?28.50333¡N 84.56667¡E,1020.00,Manaslu,1970,2 (6)
,Nuptse,7864.00,25801.00,Mahalangur Himalaya,27¡58?03?N 86¡53?13?E? / ?27.96750¡N 86.88694¡E,319.00,Lhotse,1961,5 (12)
21,Khunyang Chhish,7823.00,25666.00,Hispar Karakoram,36¡12?19?N 75¡12?28?E? / ?36.20528¡N 75.20778¡E *,1765.00,Distaghil Sar,1971,2 (6)
22,Masherbrum/K1,7821.00,25659.00,Masherbrum Karakoram,35¡38?28?N 76¡18?21?E? / ?35.64111¡N 76.30583¡E,2457.00,Gasherbrum I,1960,4 (9)
23,Nanda Devi,7816.00,25643.00,Garhwal Himalaya,30¡22?33?N 79¡58?15?E? / ?30.37583¡N 79.97083¡E,3139.00,Dhaulagiri,1936,14 (12)
24,Chomo Lonzo,7804.00,25604.00,Mahalangur Himalaya,27¡55?50?N 87¡06?28?E? / ?27.93056¡N 87.10778¡E,590.00,Makalu,1954,3 (1)
25,Batura Sar,7795.00,25574.00,Batura Karakoram,36¡30?37?N 74¡31?21?E? / ?36.51028¡N 74.52250¡E,3118.00,Distaghil Sar,1976,4 (6)
26,Kanjut Sar,7790.00,25558.00,Hispar Karakoram,36¡12?20?N 75¡25?01?E? / ?36.20556¡N 75.41694¡E,1690.00,Khunyang Chhish,1959,2 (1)
27,Rakaposhi,7788.00,25551.00,Rakaposhi-Haramosh Karakoram,36¡08?33?N 74¡29?22?E? / ?36.14250¡N 74.48944¡E,2818.00,Khunyang Chhish,1958,8 (13)
28,Namcha Barwa,7782.00,25531.00,Assam Himalaya,29¡37?52?N 95¡03?19?E? / ?29.63111¡N 95.05528¡E,4106.00,Kangchenjunga,1992,1 (2)
29,Kamet,7756.00,25446.00,Garhwal Himalaya,30¡55?12?N 79¡35?30?E? / ?30.92000¡N 79.59167¡E *,2825.00,Nanda Devi,1931,23 (14)
30,Dhaulagiri II,7751.00,25430.00,Dhaulagiri Himalaya,28¡45?46?N 83¡23?18?E? / ?28.76278¡N 83.38833¡E,2396.00,Dhaulagiri,1971,4 (11)
31,Saltoro Kangri/K10,7742.00,25400.00,Saltoro Karakoram,35¡23?57?N 76¡50?53?E? / ?35.39917¡N 76.84806¡E *,2160.00,Gasherbrum I,1962,2 (1)
32,Jannu,7711.00,25299.00,Kangchenjunga Himalaya,27¡40?56?N 88¡02?40?E? / ?27.68222¡N 88.04444¡E *,1036.00,Kangchenjunga,1962,17 (12)
33,Tirich Mir,7708.00,25289.00,Hindu Kush,36¡15?19?N 71¡50?30?E? / ?36.25528¡N 71.84167¡E *,3910.00,Batura Sar,1950,20 (11)
